date,transaction_type,description,amount,balance,category
2024-01-01,ATM WITHDRAWAL,TELKOM *3490,-1354.12,2711028.11,utilities
2024-01-01,ATM WITHDRAWAL,CITY OF CAPE TOWN ONLINE 00822,-1722.03,2961845.96,utilities
2024-01-01,ATM WITHDRAWAL,NANDOS STORE 39959,-1240.74,3455378.08,restaurants
2024-01-01,POS,BANK INTEREST,21522.03,437484.77,income
2024-01-01,POS,STEAM *7211287,-464.33,2712472.75,entertainment
2024-01-02,ONLINE PAYMENT,NETFLIX *4630038,-1888.01,2252540.32,entertainment
2024-01-02,ATM WITHDRAWAL,MTN ONLINE 58897020,-439.45,3118059.33,utilities
2024-01-02,POS,VODACOM 239989 ZA,-1923.8,1964062.06,utilities
2024-01-02,EFT,DSTV 9206 ZA,-1315.61,3378289.39,entertainment
2024-01-02,POS,BP 78186 ZA,-364.98,1652445.32,transport
2024-01-02,DEBIT ORDER,SPOTIFY *0935952,-1779.38,2469767.52,entertainment
2024-01-03,CARD PURCHASE,BOLT 73174 ZA,-824.82,3355615.01,transport
2024-01-04,ATM WITHDRAWAL,FREELANCE CLIENT,8061.23,1848915.61,income
2024-01-04,EFT,SPAR STORE 63381464,-1892.38,3120858.26,groceries
2024-01-04,DEBIT ORDER,STEAM *10610,-1254.85,712286.52,entertainment
2024-01-04,ONLINE PAYMENT,SPAR STORE 72169793,-740.4,1729913.66,groceries
2024-01-04,CARD PURCHASE,SALARY ACME LTD,19932.29,2391307.88,income
2024-01-04,DEBIT ORDER,CITY OF CAPE TOWN 6703335 ZA,-380.35,1825947.17,utilities
2024-01-05,ONLINE PAYMENT,NANDOS 068715 ZA,-417.33,211544.39,restaurants
2024-01-05,EFT,MCDONALDS *31860527,-944.54,3432566.46,restaurants
2024-01-05,DEBIT ORDER,NANDOS CPT 5436670,-1843.71,3033955.11,restaurants
2024-01-05,ONLINE PAYMENT,CITY OF CAPE TOWN CPT 4390869,-526.42,3419360.17,utilities
2024-01-06,ONLINE PAYMENT,DSTV *3770,-435.17,257946.0,entertainment
2024-01-06,CARD PURCHASE,NANDOS 5041616 ZA,-769.24,2345426.68,restaurants
2024-01-06,DEBIT ORDER,BP *31627,-286.59,1748004.51,transport
2024-01-06,EFT,SPAR STORE 07967,-553.72,1956064.53,groceries
2024-01-06,DEBIT ORDER,SPAR *704005,-124.94,3364214.34,groceries
2024-01-07,CARD PURCHASE,BANK INTEREST,9360.82,3510015.08,income
2024-01-07,DEBIT ORDER,STEERS ONLINE 29041666,-1005.3,416742.5,restaurants
2024-01-07,CARD PURCHASE,MTN CPT 3196325,-677.47,2355021.88,utilities
2024-01-07,ATM WITHDRAWAL,UBER CPT 08919179,-1466.13,601082.44,transport
2024-01-08,EFT,GAME STORE 4348692,-1529.17,1925747.63,shopping
2024-01-08,ATM WITHDRAWAL,TELKOM STORE 3763678,-1348.81,2251191.51,utilities
2024-01-08,EFT,AMAZON ONLINE 6416,-687.48,104190.42,shopping
2024-01-08,CARD PURCHASE,BANK INTEREST,29922.1,1310354.28,income
2024-01-08,CARD PURCHASE,VODACOM ONLINE 2269168,-190.47,820262.12,utilities
2024-01-09,EFT,STEAM CPT 775126,-1914.1,2015902.56,entertainment
2024-01-09,ATM WITHDRAWAL,MTN *2945,-1228.55,2806377.49,utilities
2024-01-09,EFT,PICK N PAY *9762,-733.21,597394.61,groceries
