date,description,amount,balance,category
2025-01-01,NETFLIX.COM,-1386.67,1568459.93,entertainment
2025-01-01,BOLT RIDE,-804.73,1569846.6,transport
2025-01-01,CHECKERS,-1133.31,956206.16,groceries
2025-01-02,SALARY ACME LTD,19344.13,1385835.73,income
2025-01-02,PICK N PAY,-54.51,1063963.12,groceries
2025-01-02,KFC,-514.01,1355154.26,restaurants
2025-01-02,NETFLIX.COM,-415.93,944945.42,entertainment
2025-01-03,NANDO'S,-1464.42,198112.4,restaurants
2025-01-03,VODACOM BILL,-614.76,407882.78,utilities
2025-01-03,KFC,-756.6,860081.56,restaurants
2025-01-03,MCDONALDS,-178.23,1380962.49,restaurants
2025-01-04,SALARY ACME LTD,8612.19,1259557.69,income
2025-01-05,KFC,-78.06,196029.12,restaurants
2025-01-05,TRANSFER FROM SAVINGS,20228.39,946609.52,income
2025-01-05,SPAR,-989.51,863477.57,groceries
2025-01-05,UBER TRIP,-1100.18,403533.31,transport
2025-01-05,STEAM PURCHASE,-1317.69,196794.71,entertainment
2025-01-06,NETFLIX.COM,-689.78,61263.38,entertainment
2025-01-06,STEERS,-245.84,737705.0,restaurants
2025-01-06,SALARY ACME LTD,15931.27,1452880.44,income
2025-01-06,MTN AIRTIME,-1009.59,1720763.22,utilities
2025-01-06,BP FUEL,-843.07,951235.46,transport
2025-01-07,ELECTRICITY PREPAID,-677.89,1575366.05,utilities
2025-01-08,VODACOM BILL,-968.6,1651478.34,utilities
2025-01-09,BP FUEL,-457.76,1127831.2,transport
2025-01-09,WOOLWORTHS,-854.27,955351.89,groceries
2025-01-09,NETFLIX.COM,-1219.4,1398109.62,entertainment
2025-01-10,TRANSFER FROM SAVINGS,11823.66,1319497.46,income
2025-01-10,SALARY ACME LTD,12162.68,427833.66,income
2025-01-11,MCDONALDS,-869.87,521791.95,restaurants
2025-01-12,BP FUEL,-253.39,1323340.93,transport
2025-01-13,CHECKERS,-264.87,523107.69,groceries
2025-01-13,PICK N PAY,-848.82,945760.7,groceries
2025-01-14,VODACOM BILL,-759.87,706711.64,utilities
2025-01-14,WOOLWORTHS,-1052.45,1465777.89,groceries
2025-01-15,MCDONALDS,-1297.67,1084963.73,restaurants
2025-01-16,STEERS,-1094.65,1590694.66,restaurants
2025-01-16,SALARY ACME LTD,13346.71,1620293.86,income
2025-01-17,VODACOM BILL,-1034.3,1091576.73,utilities
2025-01-17,ELECTRICITY PREPAID,-579.24,725967.68,utilities
2025-01-18,BOLT RIDE,-869.05,449974.56,transport
2025-01-18,REFUND,11500.78,435913.07,income
2025-01-18,SPAR,-1206.37,733557.87,groceries
2025-01-18,SPAR,-975.69,227520.54,groceries
2025-01-19,DSTV,-1025.42,1539989.27,entertainment
2025-01-19,NETFLIX.COM,-716.17,1652446.94,entertainment
2025-01-20,VODACOM BILL,-810.61,1619483.25,utilities
2025-01-20,CHECKERS,-1028.93,517101.73,groceries
2025-01-21,MTN AIRTIME,-1493.57,868668.18,utilities
2025-01-21,DSTV,-660.53,402872.78,entertainment
2025-01-21,MCDONALDS,-1229.88,1081142.73,restaurants
2025-01-21,CITY OF CAPE TOWN WATER,-1418.97,1713253.08,utilities
2025-01-22,SPAR,-1483.09,862717.64,groceries
2025-01-23,SALARY ACME LTD,7783.91,1663338.36,income
2025-01-23,SALARY ACME LTD,10649.56,1572949.15,income
2025-01-23,CHECKERS,-1245.27,1400257.74,groceries
2025-01-23,NANDO'S,-273.3,292381.25,restaurants
2025-01-24,BP FUEL,-642.26,1654166.94,transport
2025-01-24,TRANSFER FROM SAVINGS,18967.29,371521.89,income
2025-01-24,STEERS,-1195.23,1081949.74,restaurants
2025-01-24,ELECTRICITY PREPAID,-715.46,1591789.31,utilities
2025-01-24,PICK N PAY,-743.22,843013.9,groceries
2025-01-24,REFUND,8769.27,198878.51,income
2025-01-24,PICK N PAY,-1461.57,1710583.79,groceries
2025-01-25,WOOLWORTHS,-435.18,1250945.5,groceries
2025-01-25,TRANSFER FROM SAVINGS,21839.27,171365.28,income
2025-01-25,SALARY ACME LTD,18565.64,79130.0,income
2025-01-25,TRANSFER FROM SAVINGS,12335.22,844571.49,income
2025-01-25,BOLT RIDE,-1290.68,1136139.36,transport
2025-01-25,SPAR,-568.25,1090162.34,groceries
2025-01-26,MTN AIRTIME,-576.9,1321907.62,utilities
